rank,name,name_url,team,team_url,salary
71,Domantas Sabonis,https://www.espn.com/nba/player/_/id/3155942/domantas-sabonis,Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,"$18,500,000"
72,Harrison Barnes,https://www.espn.com/nba/player/_/id/6578/harrison-barnes,Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,"$18,352,273"
73,Evan Fournier,https://www.espn.com/nba/player/_/id/6588/evan-fournier,New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,"$18,000,000"
74,Bogdan Bogdanovic,https://www.espn.com/nba/player/_/id/3037789/bogdan-bogdanovic,Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,"$18,000,000"
75,Steven Adams,https://www.espn.com/nba/player/_/id/2991235/steven-adams,Memphis Grizzlies,https://www.espn.com/nba/team/_/name/mem/memphis-grizzlies,"$17,926,829"
76,Gary Trent Jr.,https://www.espn.com/nba/player/_/id/4277843/gary-trent-jr.,Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,"$17,505,000"
77,Jonathan Isaac,https://www.espn.com/nba/player/_/id/4065654/jonathan-isaac,Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,"$17,400,000"
78,O.G. Anunoby,https://www.espn.com/nba/player/_/id/3934719/o.g.-anunoby,Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,"$17,357,143"
79,Marcus Smart,https://www.espn.com/nba/player/_/id/2990992/marcus-smart,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$17,207,141"
80,Mitchell Robinson,https://www.espn.com/nba/player/_/id/4351852/mitchell-robinson,New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,"$17,045,454"
81,Duncan Robinson,https://www.espn.com/nba/player/_/id/3157465/duncan-robinson,Miami Heat,https://www.espn.com/nba/team/_/name/mia/miami-heat,"$16,902,000"
82,Derrick White,https://www.espn.com/nba/player/_/id/3078576/derrick-white,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$16,892,857"
