id,season,Team,GP,GS,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
3913174,2022-23,LAC,35,11,20.7,2.8-6.0,46.4,1.7-3.8,44.7,0.5-0.6,95.0,0.2,2.2,2.4,1.1,0.1,0.5,1.3,0.9,7.8
3913174,2022-23,MEM,24,3,24.6,3.8-7.1,52.6,3.1-5.7,54.0,0.8-0.8,94.7,0.4,2.8,3.1,2.3,0.0,0.5,1.5,0.7,11.3
3058254,2015-16,PHI,17,0,8.5,1.3-3.1,41.5,0.2-0.6,36.4,0.8-1.2,61.9,0.8,1.5,2.2,0.2,0.4,0.3,0.6,0.1,3.6
3058254,2016-17,CHA,13,0,8.2,0.9-1.8,52.2,0.0-0.4,0.0,0.8-1.2,73.3,1.1,1.2,2.2,0.2,0.5,0.2,0.8,0.5,2.7
3058254,2018-19,MIL,13,0,4.8,0.9-1.9,48.0,0.2-0.4,60.0,0.8-1.2,66.7,0.3,1.2,1.5,0.2,0.0,0.0,0.2,0.2,2.8
3058254,2018-19,NO,8,2,23.6,6.1-11.5,53.3,0.8-2.6,28.6,3.9-5.1,75.6,1.6,6.3,7.9,0.8,1.3,0.9,1.8,1.8,16.9
3058254,2019-20,DET,62,12,21.4,4.6-8.2,56.7,0.9-2.3,38.6,2.9-3.9,74.4,1.7,4.6,6.3,1.0,0.9,0.5,1.6,1.4,13.1
3058254,2020-21,HOU,41,41,32.3,8.0-15.6,51.4,1.9-5.0,37.4,3.0-4.8,63.1,1.9,7.8,9.6,1.7,1.2,0.8,2.1,2.0,21.0
3058254,2021-22,HOU,68,67,30.8,6.5-12.9,50.1,1.9-4.9,39.0,3.0-4.9,62.3,1.6,8.5,10.1,2.3,1.0,0.8,2.5,1.9,17.9
3058254,2022-23,DAL,67,17,25.9,5.9-11.5,51.5,1.6-4.2,37.6,3.2-4.2,77.2,1.3,6.0,7.3,1.8,1.1,0.4,2.5,1.8,16.6
4277847,2018-19,CHI,44,44,25.2,4.1-8.4,48.5,0.1-0.7,18.8,2.0-2.5,79.5,2.0,5.0,7.0,1.8,1.3,0.6,3.5,1.5,10.3
